title,,,,,,,,,,,,,,,,,publish_time
The current perspectives of dromedary camel stem cells research,,,,,,,,,,,,,,,,,2/14/2018
Host phosphatidic acid phosphatase lipin1 is rate limiting for functional hepatitis C virus replicase complex formation,,,,,,,,,,,,,,,,,9/18/2018
IFITM proteins inhibit HIV-1 protein synthesis,,,,,,,,,,,,,,,,,9/28/2018
Complemented Palindromic Small RNAs First Discovered from SARS Coronavirus,,,,,,,,,,,,,,,,,9/5/2018
Proteases and Their Inhibitors in Chronic Obstructive Pulmonary Disease,,,,,,,,,,,,,,,,,8/28/2018
Sharing public health data and information across borders: lessons from Southeast Asia,,,,,,,,,,,,,,,,,9/29/2018
Host-Directed Antivirals: A Realistic Alternative to Fight Zika Virus,,,,,,,,,,,,,,,,,8/24/2018
Monocytes and Macrophages as Viral Targets and Reservoirs,,,,,,,,,,,,,,,,,9/18/2018
Detection and Characterization of Distinct Alphacoronaviruses in Five Different Bat Species in Denmark,,,,,,,,,,,,,,,,,9/11/2018
S1 Subunit of Spike Protein from a Current Highly Virulent Porcine Epidemic Diarrhea Virus Is an Important Determinant of Virulence in Piglets,,,,,,,,,,,,,,,,,8/30/2018
The Oakville Oil Refinery Closure and Its Influence on Local Hospitalizations: A Natural Experiment on Sulfur Dioxide,,,,,,,,,,,,,,,,,9/17/2018
Infectious Bronchitis Virus Nonstructural Protein 4 Alone Induces Membrane Pairing,,,,,,,,,,,,,,,,,9/6/2018
Virucidal and Synergistic Activity of Polyphenol-Rich Extracts of Seaweeds against Measles Virus,,,,,,,,,,,,,,,,,8/30/2018
A Human DPP4-Knockin Mouse’s Susceptibility to Infection by Authentic and Pseudotyped MERS-CoV,,,,,,,,,,,,,,,,,8/23/2018
Novel Flu Viruses in Bats and Cattle: “Pushing the Envelope” of Influenza Infection,,,,,,,,,,,,,,,,,8/6/2018
The Current Status of the Pharmaceutical Potential of Juniperus L. Metabolites,,,,,,,,,,,,,,,,,7/31/2018
Caerin1.1 Suppresses the Growth of Porcine Epidemic Diarrhea Virus In Vitro via Direct Binding to the Virus,,,,,,,,,,,,,,,,,9/18/2018
Host Shutoff in Influenza A Virus: Many Means to an End,,,,,,,,,,,,,,,,,9/5/2018
Inhibition of Homophilic Interactions and Ligand Binding of the Receptor for Advanced Glycation End Products by Heparin and Heparin-Related Carbohydrate Structures,,,,,,,,,,,,,,,,,7/30/2018
Restriction of H1N1 influenza virus infection by selenium nanoparticles loaded with ribavirin via resisting caspase-3 apoptotic pathway,,,,,,,,,,,,,,,,,9/26/2018
A survey on infection control in emergency departments in Japan,,,,,,,,,,,,,,,,,7/30/2018
Inflammasome: A Double-Edged Sword in Liver Diseases,,,,,,,,,,,,,,,,,9/25/2018
"Epidemiology of Severe Acute Respiratory Illness and Risk Factors for Influenza Infection and Clinical Severity among Adults in Malawi, 2011–2013",,,,,,,,,,,,,,,,,7/23/2018
Accounting for Programmed Ribosomal Frameshifting in the Computation of Codon Usage Bias Indices,,,,,,,,,,,,,,,,,8/23/2018
A planetary vision for one health,,,,,,,,,,,,,,,,,10/2/2018
Epidemiology and Immune Pathogenesis of Viral Sepsis,,,,,,,,,,,,,,,,,9/27/2018
Early Growth Response Gene-1 Suppresses Foot-and-Mouth Disease Virus Replication by Enhancing Type I Interferon Pathway Signal Transduction,,,,,,,,,,,,,,,,,9/27/2018
"Characterization of the structure, cells, and cellular mechanobiological response of human plantar fascia",,,,,,,,,,,,,,,,,10/3/2018
Comparative analysis of rodent and small mammal viromes to better understand the wildlife origin of emerging infectious diseases,,,,,,,,,,,,,,,,,10/3/2018
The ADRP domain from a virulent strain of infectious bronchitis virus is not sufficient to confer a pathogenic phenotype to the attenuated Beaudette strain,,,,,,,,,,,,,,,,,6/12/2018
Synthetic viruses—Anything new?,,,,,,,,,,,,,,,,,10/4/2018
The papain-like protease determines a virulence trait that varies among members of the SARS-coronavirus species,,,,,,,,,,,,,,,,,9/24/2018
"The changes of prevalence and etiology of pediatric pneumonia from National Emergency Department Information System in Korea, between 2007 and 2014",,,,,,,,,,,,,,,,,9/15/2018
Generation of therapeutic antisera for emerging viral infections,,,,,,,,,,,,,,,,,10/5/2018
Microbiological testing of adults hospitalised with community-acquired pneumonia: an international study,,,,,,,,,,,,,,,,,10/8/2018
Designing of CD8(+) and CD8(+)-overlapped CD4(+) epitope vaccine by targeting late and early proteins of human papillomavirus,,,,,,,,,,,,,,,,,10/2/2018
Pseudomonas aeruginosa infection increases the readmission rate of COPD patients,,,,,,,,,,,,,,,,,10/2/2018
Quantifying the value of surveillance data for improving model predictions of lymphatic filariasis elimination,,,,,,,,,,,,,,,,,10/8/2018
Monitoring the age-specificity of measles transmissions during 2009-2016 in Southern China,,,,,,,,,,,,,,,,,10/8/2018
Antibiotic use for community-acquired pneumonia in neonates and children: WHO evidence review,,,,,,,,,,,,,,,,,5/23/2018
Insights into the genetic and host adaptability of emerging porcine circovirus 3,,,,,,,,,,,,,,,,,8/24/2018
Staphylococcus aureus colonization and non-influenza respiratory viruses: Interactions and synergism mechanisms,,,,,,,,,,,,,,,,,8/26/2018
Porcine Reproductive and Respiratory Syndrome Virus strains with Higher Virulence Cause Marked Protein Profile Changes in MARC-145 Cells,,,,,,,,,,,,,,,,,10/9/2018
Complement Activation Contributes to Severe Acute Respiratory Syndrome Coronavirus Pathogenesis,,,,,,,,,,,,,,,,,10/9/2018
Monomeric Camelus dromedarius GSTM1 at low pH is structurally more thermostable than its native dimeric form,,,,,,,,,,,,,,,,,10/10/2018
Nanoparticle Vaccines Against Infectious Diseases,,,,,,,,,,,,,,,,,10/4/2018
"Bordetella bronchiseptica Colonization Limits Efficacy, but Not Immunogenicity, of Live-Attenuated Influenza Virus Vaccine and Enhances Pathogenesis After Influenza Challenge",,,,,,,,,,,,,,,,,10/4/2018
"Zika Virus Infection at Different Pregnancy Stages: Anatomopathological Findings, Target Cells and Viral Persistence in Placental Tissues",,,,,,,,,,,,,,,,,9/25/2018
Rapid detection of respiratory organisms with the FilmArray respiratory panel in a large children’s hospital in China,,,,,,,,,,,,,,,,,10/11/2018
Attenuation of replication by a 29 nucleotide deletion in SARS-coronavirus acquired during the early stages of human-to-human transmission,,,,,,,,,,,,,,,,,10/11/2018
Montelukast Reduces Serum Levels of Eosinophil-Derived Neurotoxin in Preschool Asthma,,,,,,,,,,,,,,,,,8/30/2018
Intermediate compartment (IC): from pre-Golgi vacuoles to a semi-autonomous membrane system,,,,,,,,,,,,,,,,,9/1/2018
‘Hajj: what it means for general practice’,,,,,,,,,,,,,,,,,4/18/2018
Construction of a recombinant rhinovirus accommodating fluorescent marker expression,,,,,,,,,,,,,,,,,9/6/2018
Risk factors for bronchiolitis severity: A retrospective review of patients admitted to the university hospital from central region of Slovenia,,,,,,,,,,,,,,,,,8/9/2018
Seasonality and clinical impact of human parainfluenza viruses,,,,,,,,,,,,,,,,,8/29/2018
Establishment of porcine enterocyte/myofibroblast co-cultures for the growth of porcine rota- and coronaviruses,,,,,,,,,,,,,,,,,10/12/2018
Differentially expressed non-coding RNAs induced by transmissible gastroenteritis virus potentially regulate inflammation and NF-κB pathway in porcine intestinal epithelial cell line,,,,,,,,,,,,,,,,,10/12/2018
A Simple Method to Detect Candidate Overlapping Genes in Viruses Using Single Genome Sequences,,,,,,,,,,,,,,,,,8/7/2018
CD9 Tetraspanin: A New Pathway for the Regulation of Inflammation?,,,,,,,,,,,,,,,,,10/9/2018
Challenges in identifying antibiotic resistance targets for point-of-care diagnostics in general practice,,,,,,,,,,,,,,,,,8/16/2018
Protective Effect and Mechanism of Alprostadil in Acute Respiratory Distress Syndrome Induced by Oleic Acid in Rats,,,,,,,,,,,,,,,,,10/8/2018
Mass spectrometry-based identification and whole-genome characterisation of the first pteropine orthoreovirus isolated from monkey faeces in Thailand,,,,,,,,,,,,,,,,,10/17/2018
Profile of resistance to IVIG treatment in patients with Kawasaki disease and concomitant infection,,,,,,,,,,,,,,,,,10/17/2018
Review of global sanitation development,,,,,,,,,,,,,,,,,11/10/2018
Investigation of the viral and bacterial microbiota in intestinal samples from mink (Neovison vison) with pre-weaning diarrhea syndrome using next generation sequencing,,,,,,,,,,,,,,,,,10/18/2018
"Therapeutic Efficacy and Safety of Prolonged Macrolide, Corticosteroid, Doxycycline, and Levofloxacin against Macrolide-Unresponsive Mycoplasma pneumoniae Pneumonia in Children",,,,,,,,,,,,,,,,,9/18/2018
Blood immune transcriptome analysis of artificially fed dairy calves and naturally suckled beef calves from birth to 7 days of age,,,,,,,,,,,,,,,,,10/18/2018
Innate Immune Detection of Cardioviruses and Viral Disruption of Interferon Signaling,,,,,,,,,,,,,,,,,10/12/2018
Patient and health system delays before registration among migrant patients with tuberculosis who were transferred out in China,,,,,,,,,,,,,,,,,10/19/2018
Molecular detection of enteric viruses and the genetic characterization of porcine astroviruses and sapoviruses in domestic pigs from Slovakian farms,,,,,,,,,,,,,,,,,10/19/2018
"Undernutrition, obesity and governance: a unified framework for upholding the right to food",,,,,,,,,,,,,,,,,10/10/2018
Overlapping genes and the proteins they encode differ significantly in their sequence composition from non-overlapping genes,,,,,,,,,,,,,,,,,10/19/2018
Characterization of murine CEACAM1 in vivo reveals low expression on CD8(+) T cells and no tumor growth modulating activity by anti-CEACAM1 mAb CC1,,,,,,,,,,,,,,,,,10/2/2018
Deep sequencing of primary human lung epithelial cells challenged with H5N1 influenza virus reveals a proviral role for CEACAM1,,,,,,,,,,,,,,,,,10/19/2018
White-nose syndrome is associated with increased replication of a naturally persisting coronaviruses in bats,,,,,,,,,,,,,,,,,10/19/2018
Transferrin receptor 1 is a supplementary receptor that assists transmissible gastroenteritis virus entry into porcine intestinal epithelium,,,,,,,,,,,,,,,,,10/20/2018
outbreaker2: a modular platform for outbreak reconstruction,,,,,,,,,,,,,,,,,10/22/2018
Tuberculosis-associated Immune Thrombocytopenia: A Case Report,,,,,,,,,,,,,,,,,8/14/2018
"Molecular detection and phylogenetic properties of isolated infectious bronchitis viruses from broilers in Ahvaz, southwest Iran, based on partial sequences of spike gene",,,,,,,,,,,,,,,,,9/15/2018
Future Path Toward TB Vaccine Development: Boosting BCG or Re-educating by a New Subunit Vaccine,,,,,,,,,,,,,,,,,10/16/2018
Clinical characteristics of patients with laboratory-confirmed influenza A(H1N1)pdm09 during the 2013/2014 and 2015/2016 clade 6B/6B.1/6B.2-predominant outbreaks,,,,,,,,,,,,,,,,,10/23/2018
SMS-based smartphone application for disease surveillance has doubled completeness and timeliness in a limited-resource setting – evaluation of a 15-week pilot program in Central African Republic (CAR),,,,,,,,,,,,,,,,,10/24/2018
Identification of a novel nidovirus as a potential cause of large scale mortalities in the endangered Bellinger River snapping turtle (Myuchelys georgesi),,,,,,,,,,,,,,,,,10/24/2018
"A comprehensive in silico analysis for identification of therapeutic epitopes in HPV16, 18, 31 and 45 oncoproteins",,,,,,,,,,,,,,,,,10/24/2018
Overexpression of the nucleocapsid protein of Middle East respiratory syndrome coronavirus up-regulates CXCL10,,,,,,,,,,,,,,,,,10/17/2018
Laboratory Diagnosis of Respiratory Tract Infections in Children – the State of the Art,,,,,,,,,,,,,,,,,10/18/2018
The Small-Compound Inhibitor K22 Displays Broad Antiviral Activity against Different Members of the Family Flaviviridae and Offers Potential as a Panviral Inhibitor,,,,,,,,,,,,,,,,,10/24/2018
Respiratory failure in the hematopoietic stem cell transplant recipient,,,,,,,,,,,,,,,,,10/16/2018
N-substituted phenylbenzamides of the niclosamide chemotype attenuate obesity related changes in high fat diet fed mice,,,,,,,,,,,,,,,,,10/25/2018
Viral Respiratory Infections in the Neonatal Intensive Care Unit—A Review,,,,,,,,,,,,,,,,,10/19/2018
Metagenomic analysis of viral nucleic acid extraction methods in respiratory clinical samples,,,,,,,,,,,,,,,,,10/25/2018
HIGH-FLOW NASAL CANNULA POST-TRACHEAL EXTUBATION IN A CHILD WITH UPPER AIRWAY OBSTRUCTION: CASE REPORT,,,,,,,,,,,,,,,,,2018
A novel framework for inferring parameters of transmission from viral sequence data,,,,,,,,,,,,,,,,,10/16/2018
"Changes in mRNA abundance drive shuttling of RNA binding proteins, linking cytoplasmic RNA degradation to transcription",,,,,,,,,,,,,,,,,10/3/2018
"What happened to health service utilization, health care expenditures, and quality of care in patients with acute pancreatitis after implementation of global budgeting in Taiwan?",,,,,,,,,,,,,,,,,10/12/2018
Clinical and sero-molecular characterization of Escherichia coli with an emphasis on hybrid strain in healthy and diarrheic neonatal calves in Egypt,,,,,,,,,,,,,,,,,10/12/2018
"African perspectives: modern complexities of emerging, re-emerging, and endemic zoonoses",,,,,,,,,,,,,,,,,10/25/2018
"Selection and validation of suitable reference genes for qPCR gene expression analysis in goats and sheep under Peste des petits ruminants virus (PPRV), lineage IV infection",,,,,,,,,,,,,,,,,10/29/2018
Burden and Risk Factors for Coronavirus Infections in Infants in Rural Nepal,,,,,,,,,,,,,,,,,11/15/2018
Continuous Invasion by Respiratory Viruses Observed in Rural Households During a Respiratory Syncytial Virus Seasonal Outbreak in Coastal Kenya,,,,,,,,,,,,,,,,,11/15/2018
"Evaluation of a recombination-resistant coronavirus as a broadly applicable, rapidly implementable vaccine platform",,,,,,,,,,,,,,,,,10/29/2018
Recent advances in understanding Crimean–Congo hemorrhagic fever virus,,,,,,,,,,,,,,,,,10/29/2018
Quality control implementation for universal characterization of DNA and RNA viruses in clinical respiratory samples using single metagenomic next-generation sequencing workflow,,,,,,,,,,,,,,,,,10/29/2018
Fomite-mediated transmission as a sufficient pathway: a comparative analysis across three viral pathogens,,,,,,,,,,,,,,,,,10/29/2018
An unusually high substitution rate in transplant-associated BK polyomavirus in vivo is further concentrated in HLA-C-bound viral peptides,,,,,,,,,,,,,,,,,10/18/2018
Discovery of Diverse Rodent and Bat Pestiviruses With Distinct Genomic and Phylogenetic Characteristics in Several Chinese Provinces,,,,,,,,,,,,,,,,,10/24/2018
A novel human coronavirus OC43 genotype detected in mainland China,,,,,,,,,,,,,,,,,10/30/2018
"A multiplex one-tube nested real time RT-PCR assay for simultaneous detection of respiratory syncytial virus, human rhinovirus and human metapneumovirus",,,,,,,,,,,,,,,,,10/30/2018
Changes in temperature alter the potential outcomes of virus host shifts,,,,,,,,,,,,,,,,,10/19/2018
Test Paper for Colorimetric Inspection of Fatty Acids and Edible Oils,,,,,,,,,,,,,,,,,9/27/2018
A High-Throughput Screening Approach To Repurpose FDA-Approved Drugs for Bactericidal Applications against Staphylococcus aureus Small-Colony Variants,,,,,,,,,,,,,,,,,10/31/2018
Resolution of obstructive sleep apnea after mandibular distraction osteogenesis in setting of delayed tongue–lip adhesion takedown: A case report,,,,,,,,,,,,,,,,,10/19/2018
Prediction of Antimicrobial Potential of a Chemically Modified Peptide From Its Tertiary Structure,,,,,,,,,,,,,,,,,10/26/2018
Neurologic Alterations Due to Respiratory Virus Infections,,,,,,,,,,,,,,,,,10/26/2018
Comparison of conservative therapy and steroid therapy for Bell’s palsy in children,,,,,,,,,,,,,,,,,9/12/2018
High Prevalence of MERS-CoV Infection in Camel Workers in Saudi Arabia,,,,,,,,,,,,,,,,,10/30/2018
Inhibition of Tetraspanin Functions Impairs Human Papillomavirus and Cytomegalovirus Infections,,,,,,,,,,,,,,,,,10/2/2018
An Alanine-to-Valine Substitution in the Residue 175 of Zika Virus NS2A Protein Affects Viral RNA Synthesis and Attenuates the Virus In Vivo,,,,,,,,,,,,,,,,,10/7/2018
Development of a Rapid Fluorescent Immunochromatographic Test to Detect Respiratory Syncytial Virus,,,,,,,,,,,,,,,,,10/2/2018
Role of Host Cell Secretory Machinery in Zika Virus Life Cycle,,,,,,,,,,,,,,,,,10/15/2018
The Characterization of Immunoprotection Induced by a cDNA Clone Derived from the Attenuated Taiwan Porcine Epidemic Diarrhea Virus Pintung 52 Strain,,,,,,,,,,,,,,,,,10/4/2018
Ocular Manifestations of Emerging Flaviviruses and the Blood-Retinal Barrier,,,,,,,,,,,,,,,,,9/28/2018
"CEACAM1 in Liver Injury, Metabolic and Immune Regulation",,,,,,,,,,,,,,,,,10/11/2018
Photodynamic Inactivation of Herpes Simplex Viruses,,,,,,,,,,,,,,,,,9/29/2018
Nucleic Acid-Dependent Structural Transition of the Intrinsically Disordered N-Terminal Appended Domain of Human Lysyl-tRNA Synthetase,,,,,,,,,,,,,,,,,10/3/2018
"Ebola Virus Maintenance: If Not (Only) Bats, What Else?",,,,,,,,,,,,,,,,,10/9/2018
"Human Coronavirus Infections in Israel: Epidemiology, Clinical Symptoms and Summer Seasonality of HCoV-HKU1",,,,,,,,,,,,,,,,,9/21/2018
Temperature Sensitive Mutations in Influenza A Viral Ribonucleoprotein Complex Responsible for the Attenuation of the Live Attenuated Influenza Vaccine,,,,,,,,,,,,,,,,,10/15/2018
Pericollapse Stage of Osteonecrosis of the Femoral Head: A Last Chance for Joint Preservation,,,,,,,,,,,,,,,,,11/5/2018
Traditional Chinese Medicine as a Potential Source for HSV-1 Therapy by Acting on Virus or the Susceptibility of Host,,,,,,,,,,,,,,,,,10/20/2018
"Non-Invasive Detection of Extracellular Matrix Metalloproteinase Inducer EMMPRIN, a New Therapeutic Target against Atherosclerosis, Inhibited by Endothelial Nitric Oxide",,,,,,,,,,,,,,,,,10/19/2018
"Dynamic graphs, community detection, and Riemannian geometry",,,,,,,,,,,,,,,,,3/29/2018
Zoonotic disease research in East Africa,,,,,,,,,,,,,,,,,11/3/2018
Complete blood count data and leukocyte expression of cytokine genes and cytokine receptor genes associated with bovine respiratory disease in calves,,,,,,,,,,,,,,,,,11/3/2018
"Hormonal Regulation of Physiology, Innate Immunity and Antibody Response to H1N1 Influenza Virus Infection During Pregnancy",,,,,,,,,,,,,,,,,10/29/2018
Molecular Distance to Health Transcriptional Score and Disease Severity in Children Hospitalized With Community-Acquired Pneumonia,,,,,,,,,,,,,,,,,10/30/2018
Genome-wide identification and characterization of long non-coding RNAs involved in the early somatic embryogenesis in Dimocarpus longan Lour,,,,,,,,,,,,,,,,,11/6/2018
Promoting influenza prevention for elderly people in Hong Kong using health action process approach: study protocol,,,,,,,,,,,,,,,,,11/6/2018
The effects of in ovo administration of encapsulated Toll-like receptor 21 ligand as an adjuvant with Marek’s disease vaccine,,,,,,,,,,,,,,,,,11/6/2018
Closed-type pre-treatment device for point-of-care testing of sputum,,,,,,,,,,,,,,,,,11/7/2018
Hyponatremia in children with respiratory infections: a cross-sectional analysis of a cohort of 3938 patients,,,,,,,,,,,,,,,,,11/7/2018
On‐Chip Screening of a Glycomimetic Library with C‐Type Lectins Reveals Structural Features Responsible for Preferential Binding of Dectin‐2 over DC‐SIGN/R and Langerin,,,,,,,,,,,,,,,,,9/3/2018
The Fourth International Neonatal and Maternal Immunization Symposium (INMIS 2017): Toward Integrating Maternal and Infant Immunization Programs,,,,,,,,,,,,,,,,,11/7/2018
Computational Molecular Docking and X-ray Crystallographic Studies of Catechins in New Drug Design Strategies,,,,,,,,,,,,,,,,,8/13/2018
"Isoxazolidine Conjugates of N3-Substituted 6-Bromoquinazolinones—Synthesis, Anti-Varizella-Zoster Virus, and Anti-Cytomegalovirus Activity",,,,,,,,,,,,,,,,,7/28/2018
Porcine epidemic diarrhea virus S1 protein is the critical inducer of apoptosis,,,,,,,,,,,,,,,,,11/7/2018
Helium-oxygen mixture: clinical applicability in an intensive care unit,,,,,,,,,,,,,,,,,10/30/2018
The calendar of epidemics: Seasonal cycles of infectious diseases,,,,,,,,,,,,,,,,,11/8/2018
CD4 T cells control development and maintenance of brain-resident CD8 T cells during polyomavirus infection,,,,,,,,,,,,,,,,,10/29/2018
A Comprehensive In Silico Method to Study the QSTR of the Aconitine Alkaloids for Designing Novel Drugs,,,,,,,,,,,,,,,,,9/18/2018
Experimental screening studies on rabies virus transmission and oral rabies vaccination of the Greater Kudu (Tragelaphus strepsiceros),,,,,,,,,,,,,,,,,11/9/2018
Functional analysis of potential cleavage sites in the MERS-coronavirus spike protein,,,,,,,,,,,,,,,,,11/9/2018
Transcriptomics in lung tissue upon respiratory syncytial virus infection reveals aging as important modulator of immune activation and matrix maintenance,,,,,,,,,,,,,,,,,11/9/2018
Etiology of Coinfections in Children with Influenza during 2015/16 Winter Season in Nepal,,,,,,,,,,,,,,,,,10/28/2018
Digital Epidemiology: Use of Digital Data Collected for Non-epidemiological Purposes in Epidemiological Studies,,,,,,,,,,,,,,,,,10/31/2018
The Interplay Between Immune Response and Bacterial Infection in COPD: Focus Upon Non-typeable Haemophilus influenzae,,,,,,,,,,,,,,,,,11/5/2018
"Characterization of rhinovirus C from a 4-year-old boy with acute onset dilated cardiomyopathy in Jakarta, Indonesia",,,,,,,,,,,,,,,,,2/1/2018
Exchange of amino acids in the H1-haemagglutinin to H3 residues is required for efficient influenza A virus replication and pathology in Tmprss2 knock-out mice,,,,,,,,,,,,,,,,,8/6/2018
Pathogens in space: Advancing understanding of pathogen dynamics and disease ecology through landscape genetics,,,,,,,,,,,,,,,,,7/28/2018
Recombinant Infectious Bronchitis Viruses Expressing Chimeric Spike Glycoproteins Induce Partial Protective Immunity against Homologous Challenge despite Limited Replication In Vivo,,,,,,,,,,,,,,,,,11/12/2018
NSs Protein of Sandfly Fever Sicilian Phlebovirus Counteracts Interferon (IFN) Induction by Masking the DNA-Binding Domain of IFN Regulatory Factor 3,,,,,,,,,,,,,,,,,11/12/2018
Association of the Human Bocavirus With Tonsil Squamous Cell Carcinomas,,,,,,,,,,,,,,,,,10/16/2018
Euclidean Distance Analysis Enables Nucleotide Skew Analysis in Viral Genomes,,,,,,,,,,,,,,,,,10/30/2018
Dam characteristics associated with pre-weaning diarrhea in mink (Neovison vison),,,,,,,,,,,,,,,,,11/12/2018
Broad neutralizing activity of a human monoclonal antibody against H7N9 strains from 2013 to 2017,,,,,,,,,,,,,,,,,11/14/2018
Elucidating the Interaction of CF Airway Epithelial Cells and Rhinovirus: Using the Host-Pathogen Relationship to Identify Future Therapeutic Strategies,,,,,,,,,,,,,,,,,11/7/2018
Influenza and respiratory syncytial virus screening for the detection of asymptomatically infected patients in hematology and oncology,,,,,,,,,,,,,,,,,9/24/2018
Exploring challenges of health system preparedness for communicable diseases in Arbaeen mass gathering: a qualitative study,,,,,,,,,,,,,,,,,9/11/2018
"Human rhinovirus spatial-temporal epidemiology in rural coastal Kenya, 2015-2016, observed through outpatient surveillance",,,,,,,,,,,,,,,,,3/27/2019
Evaluation of Zika Virus-specific T-cell Responses in Immunoprivileged Organs of Infected Ifnar1(-/-) Mice,,,,,,,,,,,,,,,,,10/17/2018
"Phylogeography, Transmission, and Viral Proteins of Nipah Virus",,,,,,,,,,,,,,,,,10/11/2018
Transcriptomic insights into the early host-pathogen interaction of cat intestine with Toxoplasma gondii,,,,,,,,,,,,,,,,,11/14/2018
Critically ill healthcare workers with the middle east respiratory syndrome (MERS): A multicenter study,,,,,,,,,,,,,,,,,11/15/2018
A unique intra-molecular fidelity-modulating mechanism identified in a viral RNA-dependent RNA polymerase,,,,,,,,,,,,,,,,,11/16/2018
Kinome-Wide siRNA Screening Identifies Src-Enhanced Resistance of Chemotherapeutic Drugs in Triple-Negative Breast Cancer Cells,,,,,,,,,,,,,,,,,11/9/2018
"Nucleolar Localization of HIV-1 Rev Is Required, Yet Insufficient for Production of Infectious Viral Particles",,,,,,,,,,,,,,,,,11/1/2018
In situ Immune Signatures and Microbial Load at the Nasopharyngeal Interface in Children With Acute Respiratory Infection,,,,,,,,,,,,,,,,,11/9/2018
"Emerging vector-borne diseases in dromedaries in Tunisia: West Nile, bluetongue, epizootic haemorrhagic disease and Rift Valley fever",,,,,,,,,,,,,,,,,3/31/2017
Health evaluation of African penguins (Spheniscus demersus) in southern Africa,,,,,,,,,,,,,,,,,9/20/2016
"Detection of central nervous system viral infections in adults in Manado, North Sulawesi, Indonesia",,,,,,,,,,,,,,,,,11/16/2018
Development of luciferase-linked antibody capture assay based on luciferase immunoprecipitation systems for antibody detection of porcine reproductive and respiratory syndrome virus,,,,,,,,,,,,,,,,,11/16/2018
Chile’s role in global health diplomacy: a narrative literature review,,,,,,,,,,,,,,,,,11/16/2018
USP18 – a multifunctional component in the interferon response,,,,,,,,,,,,,,,,,11/16/2018
EGFR as a Negative Regulatory Protein Adjusts the Activity and Mobility of NHE3 in the Cell Membrane of IPEC-J2 Cells With TGEV Infection,,,,,,,,,,,,,,,,,11/13/2018
Cyclophilin A as a target in the treatment of cytomegalovirus infections,,,,,,,,,,,,,,,,,11/18/2018
Climate Change Could Increase the Geographic Extent of Hendra Virus Spillover Risk,,,,,,,,,,,,,,,,,3/19/2018
"Evaluation of preparedness of healthcare student volunteers against Middle East respiratory syndrome coronavirus (MERS-CoV) in Makkah, Saudi Arabia: a cross-sectional study",,,,,,,,,,,,,,,,,4/14/2018
Health care-associated infections – an overview,,,,,,,,,,,,,,,,,11/15/2018
Molecular Basis for the Evolution of Species-Specific Hemoglobin Capture by Staphylococcus aureus,,,,,,,,,,,,,,,,,11/20/2018
Development of a Conventional RT-PCR Assay for Rapid Detection of Porcine Deltacoronavirus with the Same Detection Limit as a SYBR Green-Based Real-Time RT-PCR Assay,,,,,,,,,,,,,,,,,11/6/2018
"Epidemiology of severe acute respiratory infections from hospital-based surveillance in Madagascar, November 2010 to July 2013",,,,,,,,,,,,,,,,,11/21/2018
Pre-B acute lymphoblastic leukemia expresses cell surface nucleolin as a 9-O-acetylated sialoglycoprotein,,,,,,,,,,,,,,,,,11/21/2018
Autophagy-Associated Proteins Control Ebola Virus Internalization Into Host Cells,,,,,,,,,,,,,,,,,12/15/2018
Fully Human Immunoglobulin G From Transchromosomic Bovines Treats Nonhuman Primates Infected With Ebola Virus Makona Isolate,,,,,,,,,,,,,,,,,12/15/2018
Development of Clinical-Stage Human Monoclonal Antibodies That Treat Advanced Ebola Virus Disease in Nonhuman Primates,,,,,,,,,,,,,,,,,12/15/2018
Comparison of enzyme-linked immunosorbent assay systems using rift valley fever virus nucleocapsid protein and inactivated virus as antigens,,,,,,,,,,,,,,,,,11/22/2018
Influence of viral infection on the relationships between airway cytokines and lung function in asthmatic children,,,,,,,,,,,,,,,,,11/21/2018
Respiratory Viral Infection-Induced Microbiome Alterations and Secondary Bacterial Pneumonia,,,,,,,,,,,,,,,,,11/16/2018
"Immunization of Experimental Dogs With Salivary Proteins From Lutzomyia longipalpis, Using DNA and Recombinant Canarypox Virus Induces Immune Responses Consistent With Protection Against Leishmania infantum",,,,,,,,,,,,,,,,,11/16/2018
Translesion polymerase kappa-dependent DNA synthesis underlies replication fork recovery,,,,,,,,,,,,,,,,,11/13/2018
The enzymatic biosynthesis of acylated steroidal glycosides and their cytotoxic activity,,,,,,,,,,,,,,,,,5/1/2018
Breaking Bad: How Viruses Subvert the Cell Cycle,,,,,,,,,,,,,,,,,11/19/2018
Beyond Type 1 Regulatory T Cells: Co-expression of LAG3 and CD49b in IL-10-Producing T Cell Lineages,,,,,,,,,,,,,,,,,11/19/2018
RNA structure interactions and ribonucleoprotein processes of the influenza A virus,,,,,,,,,,,,,,,,,10/10/2017
Synthesis and Evaluation of Non-peptidic Cysteine Protease Inhibitors of P. falciparum Derived from Etacrynic Acid,,,,,,,,,,,,,,,,,12/23/2008
"Synthesis of 2,3-Dioxo-5-(substituted)arylpyrroles and Their 2-Oxo-5-aryl-3-hydrazone Pyrrolidine Derivatives",,,,,,,,,,,,,,,,,1/7/2009
Gene Knockdowns in Adult Animals: PPMOs and Vivo-Morpholinos,,,,,,,,,,,,,,,,,3/25/2009
"Antiviral and Anti-Inflammatory Activities of Pochonin D, a Heat Shock Protein 90 Inhibitor, against Rhinovirus Infection",,,,,,,,,,,,,,,,,5/2/2018
Structural basis of development of multi-epitope vaccine against Middle East respiratory syndrome using in silico approach,,,,,,,,,,,,,,,,,11/21/2018
